Listing ID,Title,Description,Category,Who made it?,What is it?,When was it made?,Renewal options,Product type,Tags,Materials,Production partners,Section,Price,Quantity,SKU,Variation 1,V1 Option,Variation 2,V2 Option,Var Price,Var Quantity,Var SKU,Var Visibility,Var Photo,Shipping profile,Weight,Length,Width,Height,Return policy,Video 1,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10
,,,,,,,,,,,,,,,,Width,8MM,Size,7,190.40,999,AYTR123-8-7,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Width,10MM,Size,7,190.40,999,AYTR123-10-7,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Width,6MM,Size,7.5,190.40,999,AYTR123-6-7.5,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Width,8MM,Size,7.5,190.40,999,AYTR123-8-7.5,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Width,10MM,Size,7.5,190.40,999,AYTR123-10-7.5,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Width,6MM,Size,8,190.40,999,AYTR123-6-8,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Width,8MM,Size,8,190.40,999,AYTR123-8-8,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Width,10MM,Size,8,190.40,999,AYTR123-10-8,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Width,6MM,Size,8.5,190.40,999,AYTR123-6-8.5,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Width,8MM,Size,8.5,190.40,999,AYTR123-8-8.5,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Width,10MM,Size,8.5,190.40,999,AYTR123-10-8.5,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Width,6MM,Size,9,190.40,999,AYTR123-6-9,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Width,8MM,Size,9,190.40,999,AYTR123-8-9,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Width,10MM,Size,9,190.40,999,AYTR123-10-9,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Width,6MM,Size,9.5,190.40,999,AYTR123-6-9.5,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Width,8MM,Size,9.5,190.40,999,AYTR123-8-9.5,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Width,10MM,Size,9.5,190.40,999,AYTR123-10-9.5,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Width,6MM,Size,10,190.40,999,AYTR123-6-10,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Width,8MM,Size,10,190.40,999,AYTR123-8-10,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Width,10MM,Size,10,190.40,999,AYTR123-10-10,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Width,6MM,Size,10.5,190.40,999,AYTR123-6-10.5,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Width,8MM,Size,10.5,190.40,999,AYTR123-8-10.5,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Width,10MM,Size,10.5,190.40,999,AYTR123-10-10.5,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Width,6MM,Size,11,190.40,999,AYTR123-6-11,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Width,8MM,Size,11,190.40,999,AYTR123-8-11,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Width,10MM,Size,11,190.40,999,AYTR123-10-11,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Width,6MM,Size,11.5,190.40,999,AYTR123-6-11.5,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Width,8MM,Size,11.5,190.40,999,AYTR123-8-11.5,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Width,10MM,Size,11.5,190.40,999,AYTR123-10-11.5,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Width,6MM,Size,12,190.40,999,AYTR123-6-12,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Width,8MM,Size,12,190.40,999,AYTR123-8-12,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Width,10MM,Size,12,190.40,999,AYTR123-10-12,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Width,6MM,Size,12.5,190.40,999,AYTR123-6-12.5,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Width,8MM,Size,12.5,190.40,999,AYTR123-8-12.5,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Width,10MM,Size,12.5,190.40,999,AYTR123-10-12.5,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Width,6MM,Size,13,190.40,999,AYTR123-6-13,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Width,8MM,Size,13,190.40,999,AYTR123-8-13,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Width,10MM,Size,13,190.40,999,AYTR123-10-13,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Width,6MM,Size,14,190.40,1,AYTR123-6-14,Off,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Width,8MM,Size,14,190.40,1,AYTR123-8-14,Off,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Width,10MM,Size,14,190.40,999,AYTR123-10-14,On,,,,,,,,,,,,,,,,,,
4512009037,"Ceramic Wedding Band for Men, 8mm Black Mens Ceramic Ring Turquoise Inlay, Personalized Engraved Ring, Comfort Fit","EDWARD is a ceramic wedding ring with turquoise inlay, polished beveled edges, and a comfort-fit interior.

**Key Features:**
• Material: Ceramic, Turquoise
• Color: Black, Blue
• Available widths: 8mm
• Comfort fit interior for all‑day wear
• Free custom laser engraving inside the band
• Ships from Aydins Jewelry in Irving, Texas
• Aydins Lifetime Warranty against defects

**Personalization:**
Add your engraving text, date, initials, or symbol in the personalization box at checkout. Max 30 characters per line.

**Shipping & Returns:**
• Ships within 2‑5 business days
• Free US shipping
• 30‑day returns (non‑engraved items only)

**Why Choose Aydins Jewelry?**
Family‑owned since 2011, we specialize in men’s wedding bands that are built to last. Every ring is inspected before shipping.

Have questions? Message us - we reply fast.",Jewelry > Rings > Wedding & Engagement > Wedding Bands,I did,A finished product,2020 - 2026,Automatic,Physical,"ceramic ring,mens wedding band,mens wedding ring,mens ceramic ring,mens ceramic band,personalized ring,engraved ring,ceramic band,mens ring,wedding band men,comfort fit ring,black ceramic ring,8mm wedding band","Ceramic,Turquoise",,,230.00,13,,Ring size,2 1/2,Width,8mm,,10,PIETRO-8-2.5,Off,,All Shipping,,,,,No policy,,https://i.etsystatic.com/13201508/r/il/23fd13/8066531948/il_fullxfull.8066531948_7wkx.jpg,https://i.etsystatic.com/13201508/r/il/7ea91d/8066531998/il_fullxfull.8066531998_a4k0.jpg,https://i.etsystatic.com/13201508/r/il/8de091/8114452297/il_fullxfull.8114452297_rsrv.jpg,https://i.etsystatic.com/13201508/r/il/4f5afe/8114452351/il_fullxfull.8114452351_htt5.jpg,https://i.etsystatic.com/13201508/r/il/043a55/8066532226/il_fullxfull.8066532226_ph18.jpg,https://i.etsystatic.com/13201508/r/il/bb2859/8066532302/il_fullxfull.8066532302_pj9u.jpg,https://i.etsystatic.com/13201508/r/il/8443c8/8066532380/il_fullxfull.8066532380_3l48.jpg,,,
,,,,,,,,,,,,,,,,Ring size,3,Width,8mm,,10,PIETRO-8-3,Off,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,3 1/2,Width,8mm,,10,PIETRO-8-3.5,Off,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,4,Width,8mm,,10,PIETRO-8-4,Off,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,4 1/2,Width,8mm,,10,PIETRO-8-4.5,Off,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,5,Width,8mm,,10,PIETRO-8-5,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,5 1/2,Width,8mm,,10,PIETRO-8-5.5,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,6,Width,8mm,,10,PIETRO-8-6,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,6 1/2,Width,8mm,,10,PIETRO-8-6.5,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,7,Width,8mm,,10,PIETRO-8-7,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,7 1/2,Width,8mm,,10,PIETRO-8-7.5,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,8,Width,8mm,,10,PIETRO-8-8,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,8 1/2,Width,8mm,,10,PIETRO-8-8.5,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,9,Width,8mm,,10,PIETRO-8-9,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,9 1/2,Width,8mm,,10,PIETRO-8-9.5,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,10,Width,8mm,,10,PIETRO-8-10,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,10 1/2,Width,8mm,,10,PIETRO-8-10.5,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,11,Width,8mm,,10,PIETRO-8-11,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,11 1/2,Width,8mm,,10,PIETRO-8-11.5,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,12,Width,8mm,,10,PIETRO-8-12,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,12 1/2,Width,8mm,,10,PIETRO-8-12.5,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,13,Width,8mm,,10,PIETRO-8-13,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,13 1/2,Width,8mm,,10,PIETRO-8-13.5,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,14,Width,8mm,,10,PIETRO-8-14,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,14 1/2,Width,8mm,,10,PIETRO-8-14.5,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,15,Width,8mm,,10,PIETRO-8-15,On,,,,,,,,,,,,,,,,,,
4512017929,"Tungsten Wedding Band for Men, 8mm Silver Mens Tungsten Ring Wood Inlay, Personalized Engraved Ring, Comfort Fit","MUKWA is a tungsten carbide wedding ring with padauk wood inlay, domed profile with polished finish, and a comfort-fit interior.

**Key Features:**
• Material: Tungsten Carbide, Wood
• Color: Silver, Pink
• Available widths: 8mm
• Comfort fit interior for all‑day wear
• Free custom laser engraving inside the band
• Ships from Aydins Jewelry in Irving, Texas
• Aydins Lifetime Warranty against defects

**Personalization:**
Add your engraving text, date, initials, or symbol in the personalization box at checkout. Max 30 characters per line.

**Shipping & Returns:**
• Ships within 2‑5 business days
• Free US shipping
• 30‑day returns (non‑engraved items only)

**Why Choose Aydins Jewelry?**
Family‑owned since 2011, we specialize in men’s wedding bands that are built to last. Every ring is inspected before shipping.

Have questions? Message us - we reply fast.",Jewelry > Rings > Wedding & Engagement > Wedding Bands,I did,A finished product,2020 - 2026,Automatic,Physical,"tungsten ring,mens wedding band,mens wedding ring,mens tungsten ring,mens tungsten band,personalized ring,engraved ring,tungsten band,mens ring,wedding band men,comfort fit ring,silver tungsten ring,wood inlay ring","Tungsten Carbide,Wood,Silver",,Wood Inlay Wedding Bands,329.00,15,,Ring size,2 1/2,Width,8mm,,10,MUKWA-8-2.5,Off,,All Shipping,,,,,No policy,,https://i.etsystatic.com/13201508/r/il/490804/8066599846/il_fullxfull.8066599846_11qp.jpg,https://i.etsystatic.com/13201508/r/il/8cc106/8114520029/il_fullxfull.8114520029_rmpu.jpg,https://i.etsystatic.com/13201508/r/il/869caf/8114520091/il_fullxfull.8114520091_skjo.jpg,https://i.etsystatic.com/13201508/r/il/1385c7/8066600024/il_fullxfull.8066600024_f16q.jpg,https://i.etsystatic.com/13201508/r/il/a8ea6f/8114520193/il_fullxfull.8114520193_ex0v.jpg,https://i.etsystatic.com/13201508/r/il/4b2a43/8066600158/il_fullxfull.8066600158_jo5g.jpg,https://i.etsystatic.com/13201508/r/il/239ec3/8114520355/il_fullxfull.8114520355_taw0.jpg,,,
,,,,,,,,,,,,,,,,Ring size,3,Width,8mm,,10,MUKWA-8-3,Off,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,3 1/2,Width,8mm,,10,MUKWA-8-3.5,Off,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,4,Width,8mm,,10,MUKWA-8-4,Off,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,4 1/2,Width,8mm,,10,MUKWA-8-4.5,Off,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,5,Width,8mm,,10,MUKWA-8-5,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,5 1/2,Width,8mm,,10,MUKWA-8-5.5,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,6,Width,8mm,,10,MUKWA-8-6,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,6 1/2,Width,8mm,,10,MUKWA-8-6.5,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,7,Width,8mm,,10,MUKWA-8-7,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,7 1/2,Width,8mm,,10,MUKWA-8-7.5,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,8,Width,8mm,,10,MUKWA-8-8,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,8 1/2,Width,8mm,,10,MUKWA-8-8.5,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,9,Width,8mm,,10,MUKWA-8-9,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,9 1/2,Width,8mm,,10,MUKWA-8-9.5,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,10,Width,8mm,,10,MUKWA-8-10,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,10 1/2,Width,8mm,,10,MUKWA-8-10.5,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,11,Width,8mm,,10,MUKWA-8-11,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,11 1/2,Width,8mm,,10,MUKWA-8-11.5,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,12,Width,8mm,,10,MUKWA-8-12,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,12 1/2,Width,8mm,,10,MUKWA-8-12.5,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,13,Width,8mm,,10,MUKWA-8-13,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,13 1/2,Width,8mm,,10,MUKWA-8-13.5,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,14,Width,8mm,,10,MUKWA-8-14,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,14 1/2,Width,8mm,,10,MUKWA-8-14.5,On,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Ring size,15,Width,8mm,,10,MUKWA-8-15,On,,,,,,,,,,,,,,,,,,
